data-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
file-unit-number	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
pointer-decl-list	{NAME_LITERAL: '' (TERMINAL) }
complex-literal-constant	{LEFT_PARENTHESIS: '(' (TERMINAL) }
data-component-def-stmt	{NAME_LITERAL: 'TYPE' (TERMINAL), NAME_LITERAL: 'CLASS' (TERMINAL), NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL) }
ac-spec	{NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
end-subroutine-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL) }
binding-private-stmt1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL) }
32_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
30_opt_autogen	{DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
allocation-list	{NAME_LITERAL: '' (TERMINAL) }
14_opt_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
1_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL), COLON: ':' (TERMINAL) }
literal-constant	{INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
io-control-spec	{NAME_LITERAL: 'UNIT' (TERMINAL), ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FMT' (TERMINAL), NAME_LITERAL: 'NML' (TERMINAL), NAME_LITERAL: 'ADVANCE' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BLANK' (TERMINAL), NAME_LITERAL: 'DECIMAL' (TERMINAL), NAME_LITERAL: 'DELIM' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'EOR' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'ID' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'PAD' (TERMINAL), NAME_LITERAL: 'POS' (TERMINAL), NAME_LITERAL: 'REC' (TERMINAL), NAME_LITERAL: 'ROUND' (TERMINAL), NAME_LITERAL: 'SIGN' (TERMINAL), NAME_LITERAL: 'SIZE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
section-subscript-list	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL), COMMA: ',' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
do-body	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: 'FORMAT' (TERMINAL), NAME_LITERAL: 'ENTRY' (TERMINAL), NAME_LITERAL: 'DATA' (TERMINAL), NAME_LITERAL: 'ALLOCATE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'BACKSPACE' (TERMINAL), NAME_LITERAL: 'CALL' (TERMINAL), NAME_LITERAL: 'CLOSE' (TERMINAL), NAME_LITERAL: 'CONTINUE' (TERMINAL), NAME_LITERAL: 'CYCLE' (TERMINAL), NAME_LITERAL: 'DEALLOCATE' (TERMINAL), NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDFUNCTION' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL), NAME_LITERAL: 'ENDPROGRAM' (TERMINAL), NAME_LITERAL: 'ENDSUBROUTINE' (TERMINAL), NAME_LITERAL: 'ENDFILE' (TERMINAL), NAME_LITERAL: 'ERROR' (TERMINAL), NAME_LITERAL: 'EXIT' (TERMINAL), NAME_LITERAL: 'FLUSH' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), NAME_LITERAL: 'GO' (TERMINAL), NAME_LITERAL: 'GOTO' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL), NAME_LITERAL: 'INQUIRE' (TERMINAL), NAME_LITERAL: 'LOCK' (TERMINAL), NAME_LITERAL: 'NULLIFY' (TERMINAL), NAME_LITERAL: 'OPEN' (TERMINAL), NAME_LITERAL: 'PRINT' (TERMINAL), NAME_LITERAL: 'READ' (TERMINAL), NAME_LITERAL: 'RETURN' (TERMINAL), NAME_LITERAL: 'REWIND' (TERMINAL), NAME_LITERAL: 'STOP' (TERMINAL), NAME_LITERAL: 'SYNC' (TERMINAL), NAME_LITERAL: 'UNLOCK' (TERMINAL), NAME_LITERAL: 'WAIT' (TERMINAL), NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: 'WRITE' (TERMINAL), NAME_LITERAL: 'ASSOCIATE' (TERMINAL), NAME_LITERAL: 'BLOCK' (TERMINAL), NAME_LITERAL: 'SELECT' (TERMINAL), NAME_LITERAL: 'SELECTCASE' (TERMINAL), NAME_LITERAL: 'CRITICAL' (TERMINAL), NAME_LITERAL: 'SELECTTYPE' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
8_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
forall-limit	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
defined-op	{DECIMALPOINT_OR_PERIOD: '.' (TERMINAL) }
intrinsic-operator	{ASTERIK: '*' (TERMINAL), SLASH: '/' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), EQ: '' (TERMINAL), NE: '' (TERMINAL), LT: '' (TERMINAL), LE: '' (TERMINAL), GT: '' (TERMINAL), GE: '' (TERMINAL), EQUALS: '=' (TERMINAL), LESS_THAN: '<' (TERMINAL), GREATER_THAN: '>' (TERMINAL), NOT: '' (TERMINAL), AND: '' (TERMINAL), OR: '' (TERMINAL), EQV: '' (TERMINAL), NEQV: '' (TERMINAL) }
primary	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL) }
75_group_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), COLON: ':' (TERMINAL) }
data-stmt-set	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
implied-shape-spec	{ASTERIK: '*' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
entity-decl-list	{NAME_LITERAL: '' (TERMINAL) }
forall-triplet-spec-list	{NAME_LITERAL: '' (TERMINAL) }
image-selector	{LEFT_SQUARE_BRACKET: '[' (TERMINAL) }
actual-arg-spec-list1_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), ASTERIK: '*' (TERMINAL) }
connect-spec	{NAME_LITERAL: 'UNIT' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NAME_LITERAL: 'ACCESS' (TERMINAL), NAME_LITERAL: 'ACTION' (TERMINAL), NAME_LITERAL: 'ASYNCHRONOUS' (TERMINAL), NAME_LITERAL: 'BLANK' (TERMINAL), NAME_LITERAL: 'DECIMAL' (TERMINAL), NAME_LITERAL: 'DELIM' (TERMINAL), NAME_LITERAL: 'ENCODING' (TERMINAL), NAME_LITERAL: 'ERR' (TERMINAL), NAME_LITERAL: 'FILE' (TERMINAL), NAME_LITERAL: 'FORM' (TERMINAL), NAME_LITERAL: 'IOMSG' (TERMINAL), NAME_LITERAL: 'IOSTAT' (TERMINAL), NAME_LITERAL: 'NEWUNIT' (TERMINAL), NAME_LITERAL: 'PAD' (TERMINAL), NAME_LITERAL: 'POSITION' (TERMINAL), NAME_LITERAL: 'RECL' (TERMINAL), NAME_LITERAL: 'ROUND' (TERMINAL), NAME_LITERAL: 'SIGN' (TERMINAL), NAME_LITERAL: 'STATUS' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
or-op	{OR: '' (TERMINAL) }
case-selector	{LEFT_PARENTHESIS: '(' (TERMINAL), NAME_LITERAL: 'DEFAULT' (TERMINAL) }
procedure-stmt	{NAME_LITERAL: 'MODULE' (TERMINAL), NAME_LITERAL: 'PROCEDURE' (TERMINAL) }
expr	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
13_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
type-param-spec	{NAME_LITERAL: '' (TERMINAL), ASTERIK: '*' (TERMINAL), COLON: ':' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
data-edit-desc	{NAME_LITERAL: 'I' (TERMINAL), NAME_LITERAL: 'B' (TERMINAL), NAME_LITERAL: 'O' (TERMINAL), NAME_LITERAL: 'Z' (TERMINAL), NAME_LITERAL: 'F' (TERMINAL), NAME_LITERAL: 'E' (TERMINAL), NAME_LITERAL: 'EN' (TERMINAL), NAME_LITERAL: 'ES' (TERMINAL), NAME_LITERAL: 'G' (TERMINAL), NAME_LITERAL: 'L' (TERMINAL), NAME_LITERAL: 'A' (TERMINAL), NAME_LITERAL: 'D' (TERMINAL), NAME_LITERAL: 'DT' (TERMINAL) }
constant-subobject	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
mp-subprogram-stmt	{NAME_LITERAL: 'MODULE' (TERMINAL) }
21_opt_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
coindexed-named-object	{NAME_LITERAL: '' (TERMINAL) }
34_group_autogen	{COLON: ':' (TERMINAL) }
44_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
forall-body-construct	{NAME_LITERAL: 'WHERE' (TERMINAL), NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'FORALL' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
contains-stmt	{NAME_LITERAL: 'CONTAINS' (TERMINAL) }
38_group_autogen	{COMMA: ',' (TERMINAL) }
allocate-shape-spec	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
imag-part	{INT_LITERAL_CONSTANT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL) }
43_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NAME_LITERAL: 'I' (TERMINAL), NAME_LITERAL: 'B' (TERMINAL), NAME_LITERAL: 'O' (TERMINAL), NAME_LITERAL: 'Z' (TERMINAL), NAME_LITERAL: 'F' (TERMINAL), NAME_LITERAL: 'E' (TERMINAL), NAME_LITERAL: 'EN' (TERMINAL), NAME_LITERAL: 'ES' (TERMINAL), NAME_LITERAL: 'G' (TERMINAL), NAME_LITERAL: 'L' (TERMINAL), NAME_LITERAL: 'A' (TERMINAL), NAME_LITERAL: 'D' (TERMINAL), NAME_LITERAL: 'DT' (TERMINAL), SLASH: '/' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: 'T' (TERMINAL), NAME_LITERAL: 'TL' (TERMINAL), NAME_LITERAL: 'TR' (TERMINAL), NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL), NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL), NAME_LITERAL: 'RU' (TERMINAL), NAME_LITERAL: 'RD' (TERMINAL), NAME_LITERAL: 'RZ' (TERMINAL), NAME_LITERAL: 'RN' (TERMINAL), NAME_LITERAL: 'RC' (TERMINAL), NAME_LITERAL: 'RP' (TERMINAL), NAME_LITERAL: 'DC' (TERMINAL), NAME_LITERAL: 'DP' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
13_group_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL) }
proc-attr-spec	{NAME_LITERAL: 'PUBLIC' (TERMINAL), NAME_LITERAL: 'PRIVATE' (TERMINAL), NAME_LITERAL: 'INTENT' (TERMINAL), NAME_LITERAL: 'OPTIONAL' (TERMINAL), NAME_LITERAL: 'POINTER' (TERMINAL), NAME_LITERAL: 'SAVE' (TERMINAL), NAME_LITERAL: 'BIND' (TERMINAL) }
26_group_autogen	{COMMA: ',' (TERMINAL) }
type-spec	{NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: '' (TERMINAL) }
do-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'DO' (TERMINAL) }
masked-elsewhere-stmt	{NAME_LITERAL: 'ELSE' (TERMINAL), NAME_LITERAL: 'ELSEWHERE' (TERMINAL) }
data-ref	{NAME_LITERAL: '' (TERMINAL) }
9_optlist_autogen	{_EMTPTY_: '' (TERMINAL), COMMA: ',' (TERMINAL) }
codimension-decl	{NAME_LITERAL: '' (TERMINAL) }
36_group_autogen	{NAME_LITERAL: 'INTEGER' (TERMINAL), NAME_LITERAL: 'REAL' (TERMINAL), NAME_LITERAL: 'DOUBLEPRECISION' (TERMINAL), NAME_LITERAL: 'DOUBLE' (TERMINAL), NAME_LITERAL: 'COMPLEX' (TERMINAL), NAME_LITERAL: 'CHARACTER' (TERMINAL), NAME_LITERAL: 'LOGICAL' (TERMINAL), NAME_LITERAL: '' (TERMINAL) }
flush-stmt	{NAME_LITERAL: 'FLUSH' (TERMINAL) }
parent-string	{NAME_LITERAL: '' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL) }
upper-cobound	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
subscript2_opt_autogen	{_EMTPTY_: '' (TERMINAL), NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
70_group_autogen	{COMMA: ',' (TERMINAL), _EMTPTY_: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), NAME_LITERAL: 'I' (TERMINAL), NAME_LITERAL: 'B' (TERMINAL), NAME_LITERAL: 'O' (TERMINAL), NAME_LITERAL: 'Z' (TERMINAL), NAME_LITERAL: 'F' (TERMINAL), NAME_LITERAL: 'E' (TERMINAL), NAME_LITERAL: 'EN' (TERMINAL), NAME_LITERAL: 'ES' (TERMINAL), NAME_LITERAL: 'G' (TERMINAL), NAME_LITERAL: 'L' (TERMINAL), NAME_LITERAL: 'A' (TERMINAL), NAME_LITERAL: 'D' (TERMINAL), NAME_LITERAL: 'DT' (TERMINAL), SLASH: '/' (TERMINAL), COLON: ':' (TERMINAL), NAME_LITERAL: 'T' (TERMINAL), NAME_LITERAL: 'TL' (TERMINAL), NAME_LITERAL: 'TR' (TERMINAL), NAME_LITERAL: 'SS' (TERMINAL), NAME_LITERAL: 'SP' (TERMINAL), NAME_LITERAL: 'S' (TERMINAL), NAME_LITERAL: 'BN' (TERMINAL), NAME_LITERAL: 'BZ' (TERMINAL), NAME_LITERAL: 'RU' (TERMINAL), NAME_LITERAL: 'RD' (TERMINAL), NAME_LITERAL: 'RZ' (TERMINAL), NAME_LITERAL: 'RN' (TERMINAL), NAME_LITERAL: 'RC' (TERMINAL), NAME_LITERAL: 'RP' (TERMINAL), NAME_LITERAL: 'DC' (TERMINAL), NAME_LITERAL: 'DP' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL) }
if-construct	{NAME_LITERAL: '' (TERMINAL), NAME_LITERAL: 'IF' (TERMINAL) }
function-reference	{NAME_LITERAL: '' (TERMINAL), LEFT_PARENTHESIS: '(' (TERMINAL), LEFT_SQUARE_BRACKET: '[' (TERMINAL), NOT: '' (TERMINAL), PLUS: '+' (TERMINAL), MINUS: '-' (TERMINAL), DECIMALPOINT_OR_PERIOD: '.' (TERMINAL), INT_LITERAL_CONSTANT: '' (TERMINAL), REAL_LITERAL_CONSTANT: '' (TERMINAL), LOGICAL_LITERAL_CONSTANT: '' (TERMINAL), CHAR_LITERAL_CONSTANT: '' (TERMINAL), BOZ_LITERAL_CONSTANT: '' (TERMINAL) }
end-mp-subprogram-stmt	{NAME_LITERAL: 'END' (TERMINAL), NAME_LITERAL: 'ENDPROCEDURE' (TERMINAL) }
type-bound-generic-stmt	{NAME_LITERAL: 'GENERIC' (TERMINAL) }
ac-implied-do	{LEFT_PARENTHESIS: '(' (TERMINAL) }
22_group_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL) }
12_opt_autogen	{LEFT_SQUARE_BRACKET: '[' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
26_opt_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL), _EMTPTY_: '' (TERMINAL) }
save-stmt	{NAME_LITERAL: 'SAVE' (TERMINAL) }
allocatable-stmt	{NAME_LITERAL: 'ALLOCATABLE' (TERMINAL) }
31_group_autogen	{LEFT_PARENTHESIS: '(' (TERMINAL) }
56_group_autogen	{COMMA: ',' (TERMINAL) }
structure-component	{NAME_LITERAL: '' (TERMINAL) }
